,Venue Weighted Rating,Venue Review Count,Venue Price,Venue Category,Venue Category 0,Venue Category 1,Venue Category 2,Venue Category 3,Neighborhood 0,Distance to Neighborhood 0,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8
103,4.5,73,$$,Cocktail Bar,cocktailbars,none,none,none,Angelino Heights,422,none,none,none,none,none,none,none,none
104,4.0,27,$$,Cocktail Bar,bars,none,none,none,Arts District,269,none,none,none,none,none,none,none,none
105,3.5,201,$$,Nightclub,bars,none,none,none,Whitley Heights,475,none,none,none,none,none,none,none,none
106,4.0,397,$$,Cuban Restaurant,cuban,none,none,none,Atwater Village,489,none,none,none,none,none,none,none,none
107,3.5,466,$$,Coffee Shop,coffee,breakfast_brunch,cafes,none,Windsor Square,329,none,none,none,none,none,none,none,none
108,3.4821947674418605,1376,$,Ice Cream Shop,icecream,desserts,customcakes,none,Woodland Hills,115,none,none,none,none,none,none,none,none
109,3.4821947674418605,1376,$,Ice Cream Shop,icecream,desserts,customcakes,none,Thai Town,481,none,none,none,none,none,none,none,none
110,3.4821947674418605,1376,$,Ice Cream Shop,icecream,desserts,customcakes,none,Toluca Lake,362,none,none,none,none,none,none,none,none
111,3.4821947674418605,1376,$,Ice Cream Shop,icecream,desserts,customcakes,none,Pacific Palisades,147,none,none,none,none,none,none,none,none
112,3.4821947674418605,1376,$,Ice Cream Shop,icecream,desserts,customcakes,none,Leimert Park,439,none,none,none,none,none,none,none,none
113,3.4821947674418605,1376,$,Ice Cream Shop,icecream,desserts,customcakes,none,Boyle Heights,410,none,none,none,none,none,none,none,none
114,3.4821947674418605,1376,$,Ice Cream Shop,icecream,desserts,customcakes,none,San Pedro,126,none,none,none,none,none,none,none,none
115,4.5,1400,$$$,Mediterranean Restaurant,mideastern,none,none,none,Arts District,141,none,none,none,none,none,none,none,none
116,4.0,434,$$,Bakery,bakeries,none,none,none,Tarzana,143,none,none,none,none,none,none,none,none
117,4.0,463,$$,Café,newamerican,breakfast_brunch,pizza,none,Beachwood Canyon,273,none,none,none,none,none,none,none,none
118,4.0,361,$$,Bakery,bakeries,desserts,none,none,Koreatown,364,none,none,none,none,none,none,none,none
119,3.427396710790213,2493,$$,Furniture / Home Store,kitchenandbath,homedecor,baby_gear,none,Hollywood,272,none,none,none,none,none,none,none,none
120,3.427396710790213,2493,$$,Furniture / Home Store,kitchenandbath,homedecor,baby_gear,none,Sawtelle,415,none,none,none,none,none,none,none,none
121,3.427396710790213,2493,$$,Furniture / Home Store,kitchenandbath,homedecor,baby_gear,none,Canoga Park,182,none,none,none,none,none,none,none,none
122,3.60967993754879,1281,$$,Nail Salon,othersalons,hairremoval,none,none,Windsor Square,378,none,none,none,none,none,none,none,none
123,3.3034682080924855,173,$$$,Ice Cream Shop,icecream,none,none,none,Whitley Heights,376,none,none,none,none,none,none,none,none
124,3.5,744,$,Mexican Restaurant,mexican,none,none,none,West Los Angeles,313,none,none,none,none,none,none,none,none
125,4.0,359,$,Japanese Restaurant,japanese,sushi,asianfusion,none,Harvard Heights,384,none,none,none,none,none,none,none,none
126,3.0,851,$$,Mediterranean Restaurant,pizza,hookah_bars,burgers,none,Beverly Grove,482,none,none,none,none,none,none,none,none
127,4.5,306,$,Juice Bar,juicebars,coffee,sandwiches,none,Whitley Heights,381,none,none,none,none,none,none,none,none
128,3.5,837,$$,Electronics Store,electronics,mobilephones,computers,none,Canoga Park,459,none,none,none,none,none,none,none,none
129,3.5,837,$$,Electronics Store,electronics,mobilephones,computers,none,Sherman Oaks,277,none,none,none,none,none,none,none,none
130,3.5,62,$$,Hotel,hotels,none,none,none,Westdale,453,none,none,none,none,none,none,none,none
131,3.5,78,$$,Hotel,hotels,none,none,none,Woodland Hills,259,none,none,none,none,none,none,none,none
